QuestionId,QuestionText,Type,Difficulty,IsDeleted,HasPreviousVersion,IsPublished,JudgePrompt,PassFail,Reasoning,Created
cacb9bd2-c294-40a9-9b22-457745f172f6,"Question: Welche der folgenden Maßnahmen kann zur Überversorgung im medizinischen Kontext führen?
Tip: Überlege, welche Maßnahmen oft aus Vorsicht, aber ohne medizinische Notwendigkeit, ergriffen werden könnten.

Correct Answer(s):
- Unnötige diagnostische Tests und Screening-Untersuchungen ohne klare Indikation
- Übermäßige Verschreibung von Medikamenten ohne klare medizinische Notwendigkeit

Incorrect Answer(s):
- Gezielte Lebensstilberatung zur Krankheitsprävention
- Verzicht auf notwendige Rehabilitationsmaßnahmen
- Früherkennung von Krankheiten durch regelmäßige Check-ups",multiple-choice,hard,false,false,false,"Question: Welche der folgenden Maßnahmen kann zur Überversorgung im medizinischen Kontext führen?
Tip: Überlege, welche Maßnahmen oft aus Vorsicht, aber ohne medizinische Notwendigkeit, ergriffen werden könnten.
Type: multiple-choice
Difficulty: hard

Answer Options:
A. Gezielte Lebensstilberatung zur Krankheitsprävention [INCORRECT ANSWER]
B. Unnötige diagnostische Tests und Screening-Untersuchungen ohne klare Indikation [CORRECT ANSWER]
C. Übermäßige Verschreibung von Medikamenten ohne klare medizinische Notwendigkeit [CORRECT ANSWER]
D. Verzicht auf notwendige Rehabilitationsmaßnahmen [INCORRECT ANSWER]
E. Früherkennung von Krankheiten durch regelmäßige Check-ups [INCORRECT ANSWER]

Reasoning: Sehr einfache Frage gelabeled als hard. Insofern eine schlechte Frage
Label: FAIL",FAIL,Sehr einfache Frage gelabeled als hard. Insofern eine schlechte Frage,2025-11-24T12:04:23.874Z
dd28f7ca-e538-4e3d-86b5-60d4f4f7c6dd,"Question: Welche der folgenden Maßnahmen zählt zur Primärprävention und dient der Verhinderung des Auftretens einer Krankheit?
Tip: Überlege, welche Maßnahmen das Risiko verringern, dass eine Krankheit überhaupt entsteht, bevor sie auftreten kann.

Correct Answer(s):
- Beratung zur Lebensstiländerung
- Impfungen zur Vermeidung von Infektionskrankheiten

Incorrect Answer(s):
- Früherkennungsuntersuchungen zur Entdeckung von Krankheiten
- Rehabilitationsmaßnahmen nach einer Krankheit
- Medikamentöse Therapie bei chronischen Erkrankungen",multiple-choice,hard,false,false,false,"Question: Welche der folgenden Maßnahmen zählt zur Primärprävention und dient der Verhinderung des Auftretens einer Krankheit?
Tip: Überlege, welche Maßnahmen das Risiko verringern, dass eine Krankheit überhaupt entsteht, bevor sie auftreten kann.
Type: multiple-choice
Difficulty: hard

Answer Options:
A. Beratung zur Lebensstiländerung [CORRECT ANSWER]
B. Impfungen zur Vermeidung von Infektionskrankheiten [CORRECT ANSWER]
C. Früherkennungsuntersuchungen zur Entdeckung von Krankheiten [INCORRECT ANSWER]
D. Rehabilitationsmaßnahmen nach einer Krankheit [INCORRECT ANSWER]
E. Medikamentöse Therapie bei chronischen Erkrankungen [INCORRECT ANSWER]

Reasoning: Die Antworten sind richtig, aber würde die Frage nicht als schwer klassifizieren
Label: FAIL",FAIL,"Die Antworten sind richtig, aber würde die Frage nicht als schwer klassifizieren",2025-11-24T12:12:18.877Z
29aed701-00c3-4f08-b665-6e2f74c43147,"Question: Welche Präventionsform adressiert die Behandlung bei bestehenden Krankheiten, die bereits diagnostiziert wurden, und zielt darauf ab, weitere Komplikationen zu verhindern?
Tip: Überlege, welche Präventionsform sich mit der Behandlung und Verhinderung von Komplikationen bei bereits bestehenden Erkrankungen beschäftigt.

Correct Answer(s):
- Tertiärprävention

Incorrect Answer(s):
- Primärprävention
- Sekundärprävention
- Quartärprävention",multiple-choice,hard,false,false,false,"Question: Welche Präventionsform adressiert die Behandlung bei bestehenden Krankheiten, die bereits diagnostiziert wurden, und zielt darauf ab, weitere Komplikationen zu verhindern?
Tip: Überlege, welche Präventionsform sich mit der Behandlung und Verhinderung von Komplikationen bei bereits bestehenden Erkrankungen beschäftigt.
Type: multiple-choice
Difficulty: hard

Answer Options:
A. Tertiärprävention [CORRECT ANSWER]
B. Primärprävention [INCORRECT ANSWER]
C. Sekundärprävention [INCORRECT ANSWER]
D. Quartärprävention [INCORRECT ANSWER]

Reasoning: Antwort ist richtig, aber sollte definitiv als leichte Frage klassifiziert werden
Label: FAIL",FAIL,"Antwort ist richtig, aber sollte definitiv als leichte Frage klassifiziert werden",2025-11-24T12:13:47.290Z
a328beb5-b2d9-42f0-923c-383137c8a894,"Question: Welche der folgenden Aussagen trifft am ehesten auf die Sekundärprävention zu?
Tip: Überlege, wie die Früherkennung von Krankheiten zur Gesundheitsvorsorge beiträgt und in welchem Stadium der Prävention sie angesiedelt ist.

Correct Answer(s):
- Sekundärprävention umfasst Maßnahmen zur Früherkennung von Krankheiten, die noch nicht diagnostiziert wurden.

Incorrect Answer(s):
- Sekundärprävention zielt darauf ab, das Auftreten von Krankheiten durch Impfungen zu verhindern.
- Sekundärprävention beinhaltet die Rehabilitation von Patienten nach einer diagnostizierten Krankheit.
- Sekundärprävention vermeidet unnötige Untersuchungen bei Patienten, bei denen eine Krankheit vermutet wird.",multiple-choice,hard,false,false,false,"Question: Welche der folgenden Aussagen trifft am ehesten auf die Sekundärprävention zu?
Tip: Überlege, wie die Früherkennung von Krankheiten zur Gesundheitsvorsorge beiträgt und in welchem Stadium der Prävention sie angesiedelt ist.
Type: multiple-choice
Difficulty: hard

Answer Options:
A. Sekundärprävention umfasst Maßnahmen zur Früherkennung von Krankheiten, die noch nicht diagnostiziert wurden. [CORRECT ANSWER]
B. Sekundärprävention zielt darauf ab, das Auftreten von Krankheiten durch Impfungen zu verhindern. [INCORRECT ANSWER]
C. Sekundärprävention beinhaltet die Rehabilitation von Patienten nach einer diagnostizierten Krankheit. [INCORRECT ANSWER]
D. Sekundärprävention vermeidet unnötige Untersuchungen bei Patienten, bei denen eine Krankheit vermutet wird. [INCORRECT ANSWER]

Reasoning: Die Antwort ist richtig, aber Frage sollte definitiv nicht als hard klassifiziert werden
Label: FAIL",FAIL,"Die Antwort ist richtig, aber Frage sollte definitiv nicht als hard klassifiziert werden",2025-11-24T12:15:08.042Z
570a2b3d-436f-4d84-9500-073f80555d28,"Question: Was ist das Hauptziel der quartären Prävention im Kontext der hausärztlichen Versorgung?
Tip: Überlege, wie Ärzte unnötige Eingriffe vermeiden und den Patienten vor Überbehandlung schützen können.

Correct Answer(s):
- Vermeidung unnötiger medizinischer Maßnahmen durch die kritische Bewertung von Symptomen und Diagnosen

Incorrect Answer(s):
- Früherkennung von Krankheiten durch regelmäßige Vorsorgeuntersuchungen
- Senkung des Risikos bereits diagnostizierter Krankheiten durch Lebensstiländerungen
- Verhinderung des Auftretens von Krankheiten durch Impfungen und Lebensstilberatung",multiple-choice,hard,false,false,false,"Question: Was ist das Hauptziel der quartären Prävention im Kontext der hausärztlichen Versorgung?
Tip: Überlege, wie Ärzte unnötige Eingriffe vermeiden und den Patienten vor Überbehandlung schützen können.
Type: multiple-choice
Difficulty: hard

Answer Options:
A. Vermeidung unnötiger medizinischer Maßnahmen durch die kritische Bewertung von Symptomen und Diagnosen [CORRECT ANSWER]
B. Früherkennung von Krankheiten durch regelmäßige Vorsorgeuntersuchungen [INCORRECT ANSWER]
C. Senkung des Risikos bereits diagnostizierter Krankheiten durch Lebensstiländerungen [INCORRECT ANSWER]
D. Verhinderung des Auftretens von Krankheiten durch Impfungen und Lebensstilberatung [INCORRECT ANSWER]

Reasoning: Antwort korrekt, aber sollte definitiv nicht als hard klassifiziert werden
Label: FAIL",FAIL,"Antwort korrekt, aber sollte definitiv nicht als hard klassifiziert werden",2025-11-24T12:16:40.119Z
6fbed429-6d85-40f5-a3d7-35161f51c6f1,"Question: Welche der folgenden Maßnahmen gehört zur Tertiärprävention und dient der Risikominimierung bei bereits diagnostizierten Erkrankungen?
Tip: Überlege, welche Maßnahmen darauf abzielen, Komplikationen bei bereits bestehenden Krankheiten zu verhindern oder deren Verlauf zu verlangsamen.

Correct Answer(s):
- Rehabilitationsmaßnahmen nach einem Herzinfarkt
- Therapie mit Betablockern und Statinen zur Risikominimierung
- Lebensstiländerung zur Senkung des Krankheitsrisikos

Incorrect Answer(s):
- Durchführung von Früherkennungsuntersuchungen
- Impfung gegen Grippe
- Beratung zur Vermeidung von Erkrankungen bei gesunden Personen",multiple-choice,hard,false,false,false,"Question: Welche der folgenden Maßnahmen gehört zur Tertiärprävention und dient der Risikominimierung bei bereits diagnostizierten Erkrankungen?
Tip: Überlege, welche Maßnahmen darauf abzielen, Komplikationen bei bereits bestehenden Krankheiten zu verhindern oder deren Verlauf zu verlangsamen.
Type: multiple-choice
Difficulty: hard

Answer Options:
A. Rehabilitationsmaßnahmen nach einem Herzinfarkt [CORRECT ANSWER]
B. Therapie mit Betablockern und Statinen zur Risikominimierung [CORRECT ANSWER]
C. Lebensstiländerung zur Senkung des Krankheitsrisikos [CORRECT ANSWER]
D. Durchführung von Früherkennungsuntersuchungen [INCORRECT ANSWER]
E. Impfung gegen Grippe [INCORRECT ANSWER]
F. Beratung zur Vermeidung von Erkrankungen bei gesunden Personen [INCORRECT ANSWER]

Reasoning: Antworten sind korrekt, allerdings ist die Frage als hard klassifiziert allerdings sehr einfach
Label: FAIL",FAIL,"Antworten sind korrekt, allerdings ist die Frage als hard klassifiziert allerdings sehr einfach",2025-11-24T12:18:14.835Z
51ed4830-8a85-415b-9c2e-94535de611fa,"Question: Welche Präventionsform beinhaltet Früherkennungsuntersuchungen, die von Krankenkassen übernommen werden, obwohl deren Effektivität teilweise umstritten ist?
Tip: Überlege, welche Präventionsform darauf abzielt, Krankheiten frühzeitig zu erkennen und zu behandeln, bevor Symptome auftreten.

Correct Answer(s):
- Sekundärprävention

Incorrect Answer(s):
- Primärprävention
- Tertiärprävention
- Quartärprävention",multiple-choice,hard,false,false,false,"Question: Welche Präventionsform beinhaltet Früherkennungsuntersuchungen, die von Krankenkassen übernommen werden, obwohl deren Effektivität teilweise umstritten ist?
Tip: Überlege, welche Präventionsform darauf abzielt, Krankheiten frühzeitig zu erkennen und zu behandeln, bevor Symptome auftreten.
Type: multiple-choice
Difficulty: hard

Answer Options:
A. Sekundärprävention [CORRECT ANSWER]
B. Primärprävention [INCORRECT ANSWER]
C. Tertiärprävention [INCORRECT ANSWER]
D. Quartärprävention [INCORRECT ANSWER]

Reasoning: Antwort korrekt, Frage sollte aber definitiv nicht als hard klassifiziert werden
Label: FAIL",FAIL,"Antwort korrekt, Frage sollte aber definitiv nicht als hard klassifiziert werden",2025-11-24T12:19:26.399Z
d0620932-85fe-47c0-b156-0542acc0e993,"Question: Welche Präventionsmaßnahme ist besonders wichtig, um das Auftreten von Stoffwechselerkrankungen zu verhindern?
Tip: Überlege, welcher Faktor häufig mit der Entstehung von Stoffwechselerkrankungen in Verbindung gebracht wird und wie man diesen beeinflussen kann.

Correct Answer(s):
- Änderung des Lebensstils

Incorrect Answer(s):
- Regelmäßige Früherkennungsuntersuchungen
- Medikamentöse Therapie
- Quartärprävention
- Rehabilitationsmaßnahmen",multiple-choice,hard,false,false,false,"Question: Welche Präventionsmaßnahme ist besonders wichtig, um das Auftreten von Stoffwechselerkrankungen zu verhindern?
Tip: Überlege, welcher Faktor häufig mit der Entstehung von Stoffwechselerkrankungen in Verbindung gebracht wird und wie man diesen beeinflussen kann.
Type: multiple-choice
Difficulty: hard

Answer Options:
A. Änderung des Lebensstils [CORRECT ANSWER]
B. Regelmäßige Früherkennungsuntersuchungen [INCORRECT ANSWER]
C. Medikamentöse Therapie [INCORRECT ANSWER]
D. Quartärprävention [INCORRECT ANSWER]
E. Rehabilitationsmaßnahmen [INCORRECT ANSWER]

Reasoning: Antwort korrekt, Frage sollte aber nicht als schwer klassifiert werden
Label: FAIL",FAIL,"Antwort korrekt, Frage sollte aber nicht als schwer klassifiert werden",2025-11-24T12:21:54.561Z
f13c9cef-460a-4bf4-84a9-5d47715aa3ef,"Question: Welche Form der Prävention ist am besten geeignet, um das Risiko eines Patienten nach einem Herzinfarkt zu senken, wenn die Krankheit bereits diagnostiziert wurde?
Tip: Überlege, welche Präventionsform sich auf die Vermeidung von Verschlechterungen bei bereits bestehenden Krankheiten konzentriert.

Correct Answer(s):
- Tertiärprävention

Incorrect Answer(s):
- Primärprävention
- Sekundärprävention
- Quartärprävention",multiple-choice,hard,false,false,false,"Question: Welche Form der Prävention ist am besten geeignet, um das Risiko eines Patienten nach einem Herzinfarkt zu senken, wenn die Krankheit bereits diagnostiziert wurde?
Tip: Überlege, welche Präventionsform sich auf die Vermeidung von Verschlechterungen bei bereits bestehenden Krankheiten konzentriert.
Type: multiple-choice
Difficulty: hard

Answer Options:
A. Tertiärprävention [CORRECT ANSWER]
B. Primärprävention [INCORRECT ANSWER]
C. Sekundärprävention [INCORRECT ANSWER]
D. Quartärprävention [INCORRECT ANSWER]

Reasoning: Korrekte Antwort, aber Frage fehlerhaft als schwer klassifiziert
Label: FAIL",FAIL,"Korrekte Antwort, aber Frage fehlerhaft als schwer klassifiziert",2025-11-24T12:23:06.935Z
04a02b40-b905-4aa7-a13e-0a9674bf31cf,"Question: Welches der folgenden Konzepte zielt darauf ab, unnötige medizinische Eingriffe zu vermeiden, wenn ein Patient nicht krank ist, aber fälschlicherweise eine Krankheit vermutet wird?
Tip: Überlege, welches Konzept sich mit der Vermeidung von Überbehandlung und unnötigen Eingriffen im Gesundheitswesen beschäftigt.

Correct Answer(s):
- Quartärprävention

Incorrect Answer(s):
- Primärprävention
- Sekundärprävention
- Tertiärprävention
- Überversorgung",multiple-choice,hard,false,false,false,"Question: Welches der folgenden Konzepte zielt darauf ab, unnötige medizinische Eingriffe zu vermeiden, wenn ein Patient nicht krank ist, aber fälschlicherweise eine Krankheit vermutet wird?
Tip: Überlege, welches Konzept sich mit der Vermeidung von Überbehandlung und unnötigen Eingriffen im Gesundheitswesen beschäftigt.
Type: multiple-choice
Difficulty: hard

Answer Options:
A. Quartärprävention [CORRECT ANSWER]
B. Primärprävention [INCORRECT ANSWER]
C. Sekundärprävention [INCORRECT ANSWER]
D. Tertiärprävention [INCORRECT ANSWER]
E. Überversorgung [INCORRECT ANSWER]

Reasoning: Antwort korrekt, Frage aber fehlerhaft als hard klassifiziert
Label: FAIL",FAIL,"Antwort korrekt, Frage aber fehlerhaft als hard klassifiziert",2025-11-24T12:24:49.161Z
