ID,Question,Tip,Type,Difficulty,CourseId,IsPublished,Created,PreviousVersionId,Deleted,TopicId,OriginalVersionId,Language
d316192a-8e2b-480c-9a17-261a849691e6,How do terminal synapses and en passant synapses relate to the central tenets of cellular connectionism?,"Consider how each synapse type supports the principles regarding neuron communication, directionality, and specificity in neural networks.",free-text,medium,a35d5a8d-6135-41c4-a0e7-030408560a50,false,"4 Nov, 2025, 15:32",,"5 Nov, 2025, 08:27",c8e070a8-1502-4e46-9845-9345d0a30104,,en
c1f894bb-a2bb-423d-8978-f72619bd17b3,In what ways do the central tenets of cellular connectionism influence our understanding of neuronal cell biology?,"Consider how each principle shapes our view on neuron functionality, structure, and interaction within neural networks.",free-text,medium,a35d5a8d-6135-41c4-a0e7-030408560a50,false,"4 Nov, 2025, 15:32",,"5 Nov, 2025, 08:27",c8e070a8-1502-4e46-9845-9345d0a30104,,en
0dc6e82e-3308-42e0-b50d-3aa6d0d528e3,"Describe the principle of dynamic polarization, how can this be seen in neuronal morphology?",Focus on how neurons are organized and functionally oriented to facilitate effective signal transmission.,free-text,medium,a35d5a8d-6135-41c4-a0e7-030408560a50,true,"4 Nov, 2025, 15:34",4c05ce55-946e-4747-9859-1c7e46afc8bf,"5 Nov, 2025, 08:27",c8e070a8-1502-4e46-9845-9345d0a30104,4c05ce55-946e-4747-9859-1c7e46afc8bf,en
6b904939-f1e6-4223-9fc1-77d2451d3f89,Name the central tenets of cellular connectionism.,Focus on the key principles that describe how neurons interact and communicate within networks.,free-text,medium,a35d5a8d-6135-41c4-a0e7-030408560a50,true,"4 Nov, 2025, 15:32",,"5 Nov, 2025, 08:27",c8e070a8-1502-4e46-9845-9345d0a30104,,en
37763f43-5e5a-45de-9827-ddf12f8c8c28,Who coined the central tenets of cellular connectionism?,Think about early pioneers in neuroscience who made significant contributions to our understanding of how nerve cells communicate.,free-text,medium,a35d5a8d-6135-41c4-a0e7-030408560a50,true,"4 Nov, 2025, 15:32",,"5 Nov, 2025, 08:27",c8e070a8-1502-4e46-9845-9345d0a30104,,en
b8b9214c-8a63-4f5e-aa3b-c710a1a797f5,What aspect of the neuron doctrine supports the idea that neurons are the basic units of signal processing?,Consider how neurons function independently and how this supports their role as fundamental units in the nervous system.,multiple-choice,medium,a35d5a8d-6135-41c4-a0e7-030408560a50,true,"4 Nov, 2025, 15:32",,"5 Nov, 2025, 08:27",c8e070a8-1502-4e46-9845-9345d0a30104,,en
93235e1a-a0a9-4f81-80ce-9fa8b864e32f,How does the principle of dynamic polarization define the directionality of neuronal signal propagation?,"Focus on the typical flow of information in neurons, starting from input areas and moving towards output regions.",multiple-choice,medium,a35d5a8d-6135-41c4-a0e7-030408560a50,true,"4 Nov, 2025, 15:32",,"5 Nov, 2025, 08:27",c8e070a8-1502-4e46-9845-9345d0a30104,,en
4cd2455e-ab48-4d12-9b1b-7bbecc301f9f,What is the significance of connectional specificity in the formation of neural networks?,Think about how the precise connections between neurons affect their communication and the overall functionality of the brain.,multiple-choice,medium,a35d5a8d-6135-41c4-a0e7-030408560a50,true,"4 Nov, 2025, 15:32",,"5 Nov, 2025, 08:27",c8e070a8-1502-4e46-9845-9345d0a30104,,en
660ef6bd-1506-4747-9ca2-190642617282,"In the context of cellular connectionism, how do terminal synapses differ from en passant synapses?",Consider the location and communication style of each synapse type along the axon.,multiple-choice,medium,a35d5a8d-6135-41c4-a0e7-030408560a50,true,"4 Nov, 2025, 15:32",,"5 Nov, 2025, 08:27",c8e070a8-1502-4e46-9845-9345d0a30104,,en
7085b991-5d51-4f20-bfa1-03d6a9e7fd80,Explain how local translation contributes to neuronal compartmentalization and function.,Consider how protein synthesis in specific areas influences neuron structure and response efficiency.,free-text,medium,a35d5a8d-6135-41c4-a0e7-030408560a50,false,"4 Nov, 2025, 16:05",,"4 Nov, 2025, 16:05",037be97a-a396-4947-8230-ab2ad480fcb4,,en
d9ad7533-3bf5-42d2-93c8-540c2f4504f6,What roles do the axon initial segment (AIS) and microtubule polarity play in defining neuronal compartments?,Consider how specific structures influence the movement and organization of cellular components within neurons.,free-text,medium,a35d5a8d-6135-41c4-a0e7-030408560a50,false,"4 Nov, 2025, 16:05",,"4 Nov, 2025, 16:06",037be97a-a396-4947-8230-ab2ad480fcb4,,en
f2f40eef-450e-4d82-ac38-8b4de1aa39ee,Discuss the role of glial cells in the definition or function of neuronal subcellular compartments.,"Consider how glial cells interact with neurons and influence their environment, supporting various neural functions and structures.",free-text,medium,a35d5a8d-6135-41c4-a0e7-030408560a50,false,"4 Nov, 2025, 16:05",,"4 Nov, 2025, 16:11",037be97a-a396-4947-8230-ab2ad480fcb4,,en
8c62cdc3-d411-47c5-a40b-12532cb933f9,Select all that apply: What functions does the axon initial segment (AIS) serve?,Consider how the axon initial segment influences both the structural organization and the transport processes within the neuron.,multiple-choice,medium,a35d5a8d-6135-41c4-a0e7-030408560a50,false,"4 Nov, 2025, 16:05",,"4 Nov, 2025, 16:12",037be97a-a396-4947-8230-ab2ad480fcb4,,en
0ec0a46d-e7a4-4e3d-937d-659b961f3e05,Which of the following compartments is characterized by the presence of rough endoplasmic reticulum?,Think about where protein synthesis is most active in a neuron due to the presence of ribosomes.,multiple-choice,medium,a35d5a8d-6135-41c4-a0e7-030408560a50,false,"4 Nov, 2025, 16:05",,"4 Nov, 2025, 16:12",037be97a-a396-4947-8230-ab2ad480fcb4,,en
439cce1e-f96a-4438-8ba3-99d2f6506b94,Select the subcellular compartment that includes the presynaptic boutons.,Identify where neurotransmitter release takes place in neuron communication.,multiple-choice,medium,a35d5a8d-6135-41c4-a0e7-030408560a50,true,"4 Nov, 2025, 16:05",,,037be97a-a396-4947-8230-ab2ad480fcb4,,en
3c62ae0d-c55c-48c3-a633-3a7a3310eccf,Which one of the following statements best describes the function of the axonal compartment in neurons?,Consider the primary role of axons in signal transmission and material transport within the neuron.,multiple-choice,medium,a35d5a8d-6135-41c4-a0e7-030408560a50,false,"4 Nov, 2025, 16:05",,"4 Nov, 2025, 16:14",037be97a-a396-4947-8230-ab2ad480fcb4,,en
f6aaf806-380b-434b-ac8f-7452c5c62fb2,Ein Objekt bewegt sich mit der Geschwindigkeit $v(t) = 5t - 2$. Welche der folgenden Aussagen trifft auf die Beschleunigung des Objekts zu?,Die Beschleunigung ist die zeitliche Ableitung der Geschwindigkeit.,multiple-choice,hard,733488e2-5ae0-4ec8-b016-47f3a6f0d319,false,"4 Nov, 2025, 16:09",2b7f02b9-5c46-4fc6-8408-dc21cc9db69f,"4 Nov, 2025, 16:09",ffce429e-6262-49de-b364-9526fbe839b2,2b7f02b9-5c46-4fc6-8408-dc21cc9db69f,de
2cca1368-100b-4d78-99eb-b1f83a1400ba,Ein Objekt bewegt sich mit der Geschwindigkeit $v(t) = 5t - 2$. Welche der folgenden Aussagen trifft auf die Beschleunigung des Objekts zu?,Die Beschleunigung ist die zeitliche Ableitung der Geschwindigkeit.,multiple-choice,hard,733488e2-5ae0-4ec8-b016-47f3a6f0d319,false,"4 Nov, 2025, 16:09",f6aaf806-380b-434b-ac8f-7452c5c62fb2,"4 Nov, 2025, 16:09",ffce429e-6262-49de-b364-9526fbe839b2,2b7f02b9-5c46-4fc6-8408-dc21cc9db69f,de
1bcbd41b-ebc4-4d61-bf59-8c1598282124,Ein Objekt bewegt sich mit der Geschwindigkeit $v(t) = 5t - 2$. Welche der folgenden Aussagen trifft auf die Beschleunigung des Objekts zu?,Die Beschleunigung ist die zeitliche Ableitung der Geschwindigkeit.,multiple-choice,hard,733488e2-5ae0-4ec8-b016-47f3a6f0d319,false,"4 Nov, 2025, 16:09",2cca1368-100b-4d78-99eb-b1f83a1400ba,,ffce429e-6262-49de-b364-9526fbe839b2,2b7f02b9-5c46-4fc6-8408-dc21cc9db69f,de
e5162307-64c3-4bb8-aab5-ea2fb6ab0d54,Ein Objekt bewegt sich mit der Geschwindigkeit $v(t) = 3t - 4$. Bestimmen Sie die Beschleunigung des Objekts.,"Erinnern Sie sich daran, dass die Beschleunigung die zeitliche Ableitung der Geschwindigkeit ist.",free-text,hard,733488e2-5ae0-4ec8-b016-47f3a6f0d319,false,"4 Nov, 2025, 16:09",2dba243a-6683-49ac-bd12-d91839720245,,ffce429e-6262-49de-b364-9526fbe839b2,2dba243a-6683-49ac-bd12-d91839720245,de
b4a65231-8e06-4e22-8516-3297f75aad36,Describe the main subcellular compartments in a neuron and explain how they are defined.,Consider the unique structures and functions that distinguish each part of the neuron.,free-text,medium,a35d5a8d-6135-41c4-a0e7-030408560a50,false,"4 Nov, 2025, 16:05",,"4 Nov, 2025, 16:10",037be97a-a396-4947-8230-ab2ad480fcb4,,en
